,TP,TN,FP,FN,TSS,HSS,Accuracy,Precision,Recall,F1-Score,loss
0,45,370,1,2,0.95,0.96,0.99,0.98,0.96,0.97,8.248421363532543e-05
1,54,364,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0199098142038565e-05
2,53,365,0,0,1.0,1.0,1.0,1.0,1.0,1.0,4.348054062575102e-05
3,60,358,0,0,1.0,1.0,1.0,1.0,1.0,1.0,5.2810382840107195e-06
4,65,353,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.055218376677658e-06
5,56,362,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.5775182191646309e-06
6,59,359,0,0,1.0,1.0,1.0,1.0,1.0,1.0,5.70029385471571e-07
7,55,363,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.814333015521697e-07
8,56,362,0,0,1.0,1.0,1.0,1.0,1.0,1.0,4.2359204144304385e-07
9,51,366,0,0,1.0,1.0,1.0,1.0,1.0,1.0,
